	Alogra	Gomtom	Apique	Araodo	Arimen	Ataema	Ayecor	Boedif	Cascha	Cascoc	Celpal	Celtal	Ceraet	Cerfor	Clebau	Conmic	Corarg	Deiurb	Digcal	Croova	Enndes	Ephtri	Eupber	Gallat	Geodec	Goupar	Gymsch	Jatexc	Jussqu	Jusgil	Jusxyl	Langri	Lanmeg	Lardiv	Lycchi	Lycelo	Mimdet	Mimcar	Mayspi	Neolop	Opuqui	Opusul	Papcae	Parpra	Nelfle	Strtor	Psevir	Sarmis	Schfas	Selsel	Sengil	Sempra	Senphy	Setpar	Siddic	Sidarg	Spopyr	Strura	Talpan	Tepart	Tilcap	Tilrec	Tildur	Tilmin	Trahie	Trisp	Triusi	Twebru	Vacaro	Valgla	Ximame	Talpol	Deiurb	Aloova	Talfru	Bouari	Tursid	Harpom	Ayelin	Crobon	Mettub	Rhyphy	Evoari	Larcun	Ampcar	Lycinf	Nelchi	Physp	Arastu	Thysul	Acapoi
gan1.1	38	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	15.5	0	0	3.5	0	38	38	0	0	0	0	15.5	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	63	38	0	0	0.5	0	0	0	0	0	0	0	0.5	3.5	0.5	0	0	3.5	0	0	0.5	0.5	0.5	3.5	3.5	0.5	3.5	0.5	3.5	3.5	0	0	0	0	0	0	0	0	0	0	3.5
gan1.2	0.5	0	38	0	0	0	3.5	0	0.5	0	15.5	0	0.5	15.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	3.5	0.5	38	0	0	0	0	38	0	0.5	0	15.5	0	0	0	0.5	0	0	0	38	0.5	0	0	38	0	38	0	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	3.5	15.5	0	0.5	0	0.5	0.5	0	0	3.5	0	0.5	0	0	0	0	0	0	0	0
gan2.1	0	0	15.5	0	3.5	15.5	0.5	0.5	0	0	15.5	0	0	0	0	0.5	0.5	0	0	0.5	0	3.5	0	3.5	15.5	0.5	0	0	0	0	0	0	3.5	63	0	0.5	0	15.5	0	0.5	0	0	0	38	38	0	0.5	0	0	15.5	0	0	15.5	0	0.5	0	0.5	0	3.5	0	0	0	0	0	3.5	0	0	0	0	3.5	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0
gan2.2	0	0	0.5	0	0	15.5	0.5	3.5	0	0	0	0	3.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0.5	0	63	0	15.5	0	0	0.5	15.5	15.5	0	0	0	0	15.5	15.5	0	0.5	0.5	3.5	0	0.5	3.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	3.5	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0
pin1.1	0	0	63	0	0.5	38	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	3.5	0.5	0	0	0	15.5	0.5	0	0	38	3.5	0.5	15.5	0	38	0	0	0	0	15.5	15.5	38	3.5	15.5	0	38	0	0	0.5	0.5	0	0	0	0	0	0	3.5	3.5	3.5	0.5	3.5	38	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0	0	0	0	0	0
pin1.2	0	0	63	0	0	15.5	0	0	0	0	0.5	0	0	0	0	0	15.5	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0.5	0	0	15.5	0.5	0.5	0	0	38	0	0	0	0	15.5	15.5	38	0.5	0.5	0	15.5	0.5	0	0.5	0.5	0.5	0	0	3.5	0	0	0	0	0	3.5	0.5	0	0	0	0	0	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0
pin2.1	0	0	38	0	0	15.5	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	15.5	0.5	3.5	0	63	0.5	3.5	0	0	0	0.5	38	0.5	0.5	0	0	63	?	0	0	0.5	0.5	0	0	15.5	0	0	0	0	0	3.5	0	0.5	0	0	0.5	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0.5	3.5	0	0	0	0	0
pin2.2	0	0	15.5	0	0	15.5	0	0	0	0	38	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.5	0	0	0	15.5	0.5	0.5	0.5	38	0.5	3.5	0	0	0	15.5	38	0	0.5	63	0	38	0	0	0.5	0.5	0.5	0	0	0.5	0	0	0	3.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	3.5	0	0	0	0	0
pin3.1	0	0	38	0	0	15.5	3.5	0	0	0	0.5	0	0	0	0	3.5	0.5	0	0	0	3.5	0	0	0.5	0	0.5	0	0	3.5	0	0.5	0	0	15.5	0	0.5	0	63	0.5	0.5	0	0	0	15.5	15.5	15.5	0.5	0.5	0	15.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
pin3.2	0.5	0	38	0	0	15.5	0.5	3.5	3.5	0.5	15.5	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0.5	15.5	0	3.5	0	38	0.5	0	0	0	0	15.5	15.5	15.5	0.5	0	0	15.5	38	0	0	0.5	0	0	0	0	0	0	0	0	3.5	0.5	0	0.5	0	0	0.5	0	0	3.5	0	0	0	0	3.5	0	0	0	0	0	3.5	0	3.5	0	38	3.5	0	0	0
chan1.1	0	0	63	0	0.5	15.5	0	0	0	0	38	0	0	15.5	3.5	0	38	0	0	0	0	3.5	0	0	0	3.5	0	0	38	0	38	0	0	38	0	3.5	0	38	15.5	0	0	0.5	0	15.5	15.5	3.5	0	15.5	0	63	38	0	0	0.5	0	0.5	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	3.5	0	0.5	0	0	0	0	0	0	0	0
chan1.2	0	0	63	0	0	15.5	0	0	0	0	38	0	0	3.5	0	3.5	15.5	0	0	0	0	0	0	0	15.5	0.5	0	0	63	0	0	0	0	15.5	0	15.5	0	15.5	0	0	0	0	0	0.5	0	0.5	3.5	3.5	0	0	0.5	0	0	15.5	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chan2.1	0.5	0	15.5	3.5	0	15.5	0	0	0	0	63	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0.5	0	0	4	0	0	0	0	38	0	0.5	0	15.5	0.5	0	0	0	0	0.5	15.5	0	0.5	0	0.5	0	63	0	0	0.5	0.5	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
chan2.2	0	0	38	0	0	15.5	0	0	0	0	0.5	0	0	0	3.5	0	15.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	3.5	15.5	3.5	0	0	15.5	3.5	0.5	0	0	15.5	15.5	15.5	15.5	0	15.5	0	0.5	63	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chan3.1	0.5	0	38	0	0	0.5	0.5	3.5	0	0.5	15.5	0	0	0	0	0.5	0.5	0	3.5	0	0	3.5	0	0	0	0.5	0	0	0	0.5	0	0	0	15.5	3.5	0.5	0	15.5	0	0	0	0	0.5	15.5	15.5	38	0.5	0.5	0.5	0.5	38	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0
chan3.2	0	3.5	38	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	38	0	0.5	0	0	0	0	3.5	0	0.5	0	0	0	0	0.5	0	0.5	38	0	0.5	0	38	0.5	0	0	0	3.5	15.5	0	0	0.5	0	0	0.5	15.5	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0	0	0	3.5	0	0	0	0.5	0	0	0	0	0	0	0	0
